rating,title,text,date,author
1.0,A total nonsense,"At the beginning I had some hope for this one but after 30 minutes of absolute nothing, I knew it was only my wishful thinking. Boring, drags for 2:40 hours without a story , some sparse thoughts recited at random by a group of unprofessional people. It is not a suspense, not a comedy , it is just a bunch of byzarre people trying hard to be "" avant garde"". Highly over rated!",2026-03-10,jules1202000
6.0,Could have been a masterpiece,"Good movie with flaws. Wagner Moura and most the bad guys on the movie are great. But other actors look and act like they got the part thanks to some relationship with the production team and not because of their acting skills. As the movie goes on there are some side stories that completely failed in my opinion. And one of them was ridiculous even though i got what they were trying to show. A big positive is the excellent recreation of that specific era. The clothing, the haircuts, everything was spot on. The last two bad things about it, i think it lacked suspense, and they also messed the end of the movie. Generally, a political thriller, or conspiracy movie that had great potential, but suffers from some bad acting and from the lack of suspense.",2026-03-10,Greek_77
1.0,Discombobulated,"Put aside the terrific acting and the stereotypes you may hold about Brazil (partying at Carnivale, and corrupt rural police), this near-3 hour movie challenges you to make sense of why you are spending so much time watching it. The main character is a university researcher who basically angers an industrialist who then places a ""hit"" on him, something he finds out later, all of which is in the preview. But guess what, nobody is a secret agent. In truth, the researcher has no idea why he is on a hit list. And after so many hours, you have no idea either. Is upsetting some petro-guy all it takes to get killed in this country? The ""action,"" what little there is, is pretty basic, sort of indie/art house stuff, even as the gritty life of living in a humid South American country comes through. There are VW Beetles galore, along with sweat and old-fashioned human labor...but little else. And by the end, you are scratching your head as to how this film won so many awards, as shown in the trailer. Don't be fooled. There are many much better films out there, despite what every capitulating critic is saying. Look at it this way, it's three hours of your life...how do you want to spend it?",2026-03-10,MichaelM-0475
6.0,"A time of ""pirraça""","A portrait of a time of ""pirraça"" (mischief), a provocative Pernambucan expression used to describe the horrors of Brazil's military regime in 1977. More than mere stubbornness, ""pirraça"" came to embody a form of popular defiance against the paranoia, fear, and violence that haunted Brazilian society.The film unfolds as an intense chase thriller, revealing how many people at the time were forced to live double lives simply to survive under the dictatorship. Anchored by powerful, absorbing performances, it moves through an atmosphere that balances tension and humor, while vividly evoking the Recife of that era. There is also a faintly ""supernatural"" undertone that pushes the story beyond straightforward realism-most notably in the urban legend of the ""Hairy Leg,"" which journalists reportedly used as a coded device to expose cases of police violence during the regime.A necessary work that honors and revisits Brazil's identity and history.A film about memory, or the lack of it...",2026-03-10,joana-niza
6.0,Reminded me at times of Mulholland Drive - and that's a problem,"Mulholland Drive I hear you scream? Yes. I confused myself on that one.But I can only attribute that to the disjointed and at times dreamlike nature of this movie. It jumps about from time and scene and is quite baffling a lot of the time. At one point it goes completely off the rails.Much like I wanted to decipher Mulholland Drive, I was chatting to AI after this to try and piece it together.There's so much I didn't get. So much that is deliberately vague. And that's problematic for me in really wanting to rave about this movie.Now there's LOT to love about it. Firstly the scene setting and direction. I don't know what Brazil was like in this era but I feel like I was there. Every scene crackles with colour and atmosphere, it's truly beautiful.The actors also magnificent. At times I felt like I was watching a documentary, and I mean that in the best ways. It just felt so real.But then it comes back to the baffling story, from its non-sequitur title to the end credits. End credits that show you photos then an actor and you understand as a viewer that you are typically seeing the the real person and then who portrayed them. Even this was a confusion... they're not real at all.It's as if the director is playing with us.There's lots to love. I wonder if this movie will benefit from a second watch. If I watch it again one day I may revise my rating up from 6/10. I'm intrigued... this one will sit with me for a while.But right now... the story is just too long and too unfocused and that prevents this from being better than it should be.",2026-03-09,antony-1
9.0,Shadows of Power in Carnival Colors,"The Secret Agent takes you to Brazil in the late 1970s with such detail that you can feel the heat, the music, and the dust of Recife. It doesn't have the big Hollywood effects; instead, it tells a slower, more realistic story about how everyday life is affected by the harsh legacy of a military dictatorship. Corruption runs through the whole movie, from small-time officials to powerful men who use violence and threats as normal business and political tools.I was impressed by how the story kept me interested without using cheap action cliches. The movie has a lot of funny, tense, and violent parts that come out of nowhere. It does this in a way that feels unsettling but believable for a society that is warped by fear and lack of punishment. Some people may think the movie is too long and the plot is too loose, but the payoff is a deep look at a country where dictatorship has become a part of everyday life and personal relationships.The Secret Agent is not a liberal sermon; it is a strong reminder that when the government makes corruption and violence normal, everyone suffers, even after the generals leave office.",2026-03-09,DickVG
7.0,6.9/10. Recommended.,"I find this film somewhat overrated. I'm sure I wouldn't feel the same if I were Brazilian. From what I understand, the movie touches upon sensitive-and dark-aspects of Brazil over the last 50 years; it would have resonated with me much more if I had lived through that historical context or had more knowledge of it. In any case, although the film is elliptical, vague, and minimalistic, you don't need to be Brazilian to appreciate it.It is a good political drama, rather than a thriller. There aren't many moments of tension and suspense, but when they do appear, the film becomes very intense. It would have been even better if it were shorter; 161 minutes was excessive. Nevertheless, it was interesting, both as a time capsule and in terms of direction, cinematography, and acting. Wagner Moura was indeed very good, as was the rest of the cast.Overall, it is an uneven but quality film that manages to immerse you in the spirit of that era and make your skin crawl-and fill you with rage-at certain villainous characters and their actions. The ending was realistic, though not satisfying.Unfortunately, when dealing with real historical events rather than fiction, there aren't often satisfying conclusions. With that in mind, the ending was exactly what suited this film.",2026-03-09,athanasiosze
3.0,Secret Agent in Hell,Secret Agent is a Horribl Film . Baffling as to why Wagner Moura even took part in it . With some serious editing cutting an hour it would have been a solid film . Take Note : You will never see some of the most physically ugly and repulsive cast in your life . If this is Brazil I'll never go there . The Women look like grotesque whores . The Men are out of a meat grinder. You'll become an advocate for deporting Latin Americans back home . It's a shame it's done with some Cinematic flare . The Hype is way off .,2026-03-09,ricneo-1467
1.0,Excuse me while I sleep through this movie,How in the world is this movie up for a Best Picture Oscar? It is as boring as hell. It was put together in a very messy way and I was having a really hard time staying focused. There was not a single character that I cared about or felt an attachment to. It just droned on and on and went nowhere. Boo hiss to the academy for even nominating this yawnfest.,2026-03-08,jobaybe
5.0,Another pretentious nothing,"Horribly misleading title, at least an hour too long, insanely bad editing supposedly used deliberately to convey the meaninglessness of dictatorships and random human outcomes - it all makes for really miserable viewing. If you think this film is about secret agents, real or metaphorical, it isn't. If you think it's about dictatorship, Brazilian or any other, it most definitely isn't. If you think you will glean some deeper truth about social injustice, you won't. It's a disjointed, confusing, pretentious slog trying to be about the human condition in Brazil in the 1970s, but it just fails to convey anything meaningful or even interesting.I will try to paint you a picture that I think people are trying to use to explain away this simply bad film: it's as if Jaws was trying to depict the randomness and meaninglessness of a shark attack by having the film be two hours of watching a guy suntanning on a beach with little or no dialogue, then in the last minute of the film getting into the sea, killed by a shark, and the credits roll.",2026-03-08,NixSar
3.0,What's the point?,I kept hoping the movie was going somewhere but in the end it went absolutely nowhere. I would have been better off cleaning my bathroom. How is this movie nominated for best picture? The acting was good and the characters were interesting but there were a lot of unanswered questions and unnecessary stories within the story.,2026-03-08,mattkay-62692
6.0,Great idea. Messy storytelling.,"I really wanted to love The Secret Agent, because the core concept is strong: political paranoia, erased truths, and how a system can destroy someone and then bury the story under noise and ""official"" narratives. On paper, that's the kind of cinema I respect.But the execution didn't work for me.The main issue is storytelling clarity. The film throws a lot of information at you through scenes that feel like exposition dumps, and instead of building tension, it often made me feel lost. I don't mind challenging movies-actually I like them-but here the confusion felt less like intentional mystery and more like the movie wasn't guiding the viewer through its own structure.The biggest example is the recurring focus on the shark and the severed leg. The film insists on it so much, but without giving enough internal context for why it matters. Maybe it's a metaphor, maybe it's cultural symbolism, maybe it's political commentary-but the movie didn't make that readable for me while watching. So instead of deepening the narrative, it became distracting and frustrating.That's why my final feeling is mixed: I respect what it's trying to say, and I can see the film's ambition, but I wish it communicated its message with more clarity and less ""information fog.""",2026-03-07,haabouzid
9.0,A storage of cultural memory and a perspective on collective remembrance and societal change through and after the military dictatorship. All in an amazing thriller.,"This movie is one of the most vibrant depictions of 1970's Brazilian culture and the violence during the military dictatorship. Every single character and interaction feels rich in ways sometimes hidden from those outside Brazilian culture.The way the story is slowly revealed after almost half the movie spent presenting the characters the environment and the looming threat is a great indicator of what this movie is about whole after the mid point the movie suddenly feels more real and grounded. You are slowly hit in the stomach with a story so raw it feels real. The way the ending is presented is equally unusual and unsettling in a way that will leave you thinking. It makes the story feel real and raw and is essential to one of the movies main themes: memory, how time slowly erases most of it, how things change, how Brazil got past the military dictatorship, but the scars remained.I've read many reviews saying the movie dragged on for too long, saying there were unnecessary scenes, complaining about the ending not being a fitting one for a thriller. I can understand how someone disconnected from Brazil and the Portuguese language, loosing much of the dialogues richness to translation and used to american movies that usually go straight to the point would say that. However: If you go into this movie knowing that it isn't just a thriller meant to have you glued to the screen waiting for the action (even though it will do that at times), knowing that it is a storage of collective cultural memory while also providing a perspective on how we dealt and deal with those memories and realities, you will love the movie.You will have the best experience if you go into the movie like a sponge, absorbing every small detail, from the way each character speaks, to how all the secondary characters interact with eachother and how each one seems to have a rich backstory, even if those stories are not fully revealed. Remember that the scenery for the movie os not a world crafted for the story, its 1970s Brazil, mostly 1970's Recife, its the real world, and it is not to be ignored. Its not an aesthetic backdrop, its the center of the story, one of the movies main missions is its characterization. If you feel like many scenes are unnecessary, that may be because you may only be interested in half of the movies premise.Let me just end this review by saying I found the movies perspective on a story that could very well be a real one to be extremely sensitive. The ending could have been extremely exciting, intense, graphic and shocking but instead it was a slap of reality and an unsettling perspective on the story, and how society healed and changed after it. The plot and the action are compelling without ever feeling embellished for the sake of the movie. The story is good enough to not need exaggeration and culturally the movie is deeply vibrant wothout feeling artificially oversaturated.",2026-03-07,manelmagueijo
6.0,The film's plot is too slow,"This concludes my list of all the films nominated for an Oscar last year, and I have to say right from the start that I think this film is worse than the others. It's good, but not like the others. The story is simply too slow and the film drags on because of some unnecessary scenes, such as the very beginning of the film. At certain moments, it was interesting to me, and at others, a bit boring. The characters are okay, nothing too special. Wagner Moura was good to me, but with all the nominees for best actor, I don't know how he ended up here. I would have preferred Joel Edgerton from Train Dreams to be here. What I liked most was the step-by-step construction of the story.",2026-03-06,Smirke
8.0,"Two Faces, Many Secrets","This is one of those films that leaves you scratching your head a little after its 2 hours and 41 minutes runtime. Directed by Brazilian director, Kleber Mendonca Filho, and starring Wagner Moura, the film takes us back to 1970s Brazil during ""a time of great mischief."" What stood out to me most wasn't the political aspect, but the Brazilian atmosphere and the people. Beneath the tension and paranoia, the film quietly celebrates the Brazilian family spirit, friends and relatives gathering, sharing food, joking, and looking out for one another even in a country plagued by corruption, surveillance, and abuse of power. It's a small but touching reminder that ordinary warmth can survive even in oppressive times, and it reminds me very much of my country, Malta, as well.One of the film's more interesting ideas is its obsession with facades. Almost everyone seems to be hiding something, living a double life of sorts, and the strange image of the two-headed cat works as a neat little symbol for that theme. Two faces, two stories, two truths. In a way, the title starts to feel less literal: the ""secret agent"" could be anyone, because everyone is protecting some private version of themselves. Mendonca Filho also throws in some odd, almost folkloric moments that blur the line between reality and myth, an unusual stylistic choice that gives the film a distinctive flavour, even if I personally do not think it is incorporated well into the story.That said, the film isn't flawless. Some stretches are undeniably slow, occasionally drifting into monotony, and the modern day ending feels a bit anti-climactic after spending so much time immersed in the wonderfully recreated 1970s setting. Still, there's a lot to admire here: the careful period detail, the thoughtful themes, and Moura's performance. It may not be a film I loved every minute of, but it's certainly one I respected, and in today's cinema landscape, that already counts for quite a lot.",2026-03-06,carmelolia
5.0,Failed movie,"The story had potential and it could have been a good movie...if the director hadn't made bad decisions when deciding how to tell the story. It's like after slowly building the characters, the plot and the tension (if you can call it that), the director suddenly decided to quit. The result is 2.5+ hours for nothing. Don't waste your time watching it.",2026-03-06,gprytoluk
3.0,Utterly Boring,What an utterly boring movie. The story is a complete mess. There are fragmented storylines that go nowhere and add little to nothing to the story. It's so convoluted that the crux of the movie isn't clear until around an hour and forty-five minutes into the movie. By the two hour mark the movie picks up but by that time I just wanted it to end. There's no reveal or twist that justify how relentlessly boring this movie is. Editing is not this movie's strong point.,2026-03-05,williamnash-25132
7.0,A Stylish but Uneven Spy Story,"77/100The film works best as a slow-burn political thriller built around tension and atmosphere rather than action. The story gradually reveals a world of paranoia, secret agendas, and ideological manipulation, letting the mystery unfold through quiet conversations and suspicious characters. The script keeps the intrigue alive and the pacing allows the suspense to build naturally, making the narrative feel thoughtful and controlled.The performances are solid, even if none of them become truly unforgettable, while the direction gives the film a restrained and elegant visual style. Muted colors, careful framing, and subtle music create a consistent mood that fits the espionage theme well. At times the storytelling feels a bit distant and could use stronger dramatic peaks, but the atmosphere and steady tone keep it engaging.",2026-03-05,Niklyor
5.0,There was nothing secret about it.,"The Secret Agent arrives with an impressive cast. The actors are clearly talented, delivering performances that remind us why they're so respected. Every scene they inhabit crackles with authenticity, their craft elevating even the most questionable material. It's almost enough to make you forget that the film around them is a mess.Almost.The trouble begins when the movie decides it isn't content being one thing. For a while, it plays as a taut espionage thriller-tense, grounded, focused. But then it veers into something else entirely: a folkloric detour about a ""hairy-legged legend"" that feels like it wandered in from a completely different film. This urban legend subplot isn't just jarring; it's baffling. What is this doing here? Why should we care? The film never bothers to answer, treating its own mythology as self-explanatory when it's anything but.As if one identity crisis weren't enough, The Secret Agent further sabotages itself with its structure. The constant shifting between past and present feels less like narrative ambition and more like indecision. Flashbacks don't illuminate-they interrupt. Timelines blur not for artistic effect, but because the editing seems unsure which story it actually wants to tell. By the midpoint, the tension has evaporated, replaced by confusion. We're left piecing together fragments that never quite cohere.And yet, the cast persists. They act their hearts out, finding nuance in underwritten roles and selling emotions the screenplay hasn't earned. Their commitment is admirable, almost heartbreaking-like watching talented performers forced to play a broken instrument. You can see the better movie hiding behind their eyes, the one that might have existed with a tighter script and a clearer vision.What a waste. What a frustrating, bewildering waste of talent. The Secret Agent had the pieces: a stellar ensemble, an intriguing premise, the bones of something compelling. But it drowned them in folklore no one asked for and a timeline no one can follow. By the end, you're left not with the thrill of a spy thriller, but with the melancholy of watching great actors stranded in a film that lost its way and never found it back.",2026-03-05,Sewer-eel
7.0,Could've been a classic,"I genuinely believe the first two-thirds of the film are absolutely perfect. The characters are so unique, and they're really presented in a good way, making them memorable and engaging. However, unfortunately, the film really goes off the rails after that point. The pacing becomes inconsistent, it speeds up and slows down erratically, and the plot becomes incredibly unclear, leaving so many loose ends and unanswered questions. I truly believe that the film had the potential to become a classic, but in the end, that opportunity was ultimately wasted.7/10.",2026-03-05,alejandrocorreab
10.0,Powefull essay on Memory,"""The Secret Agent,"" Kleber Mendonça Filho's marvelous new film, is a complex piece of craftsmanship that defies viewer expectations, evoking 1970s Brazil as it zigzags between personal drama, political reality, corruption and violence, cinematic memory, and the identity of a city, Recife. Patiently unfolding a mosaic of stories and characters that converge on Marcelo (a monumental performance by Wagner Moura), the film illuminates the present, with a melancholic anticlimax that confronts us with the question of what we remember and what we forget, and why.""It was while writing the script that I realized that conservatism in Brazil in the 21st century was a nostalgic and sugarcoated version of the civil-military dictatorship of the 20th century. The dictatorship not only set back the development of Brazilian society by at least 30 years, but also left millions of Brazilians confused about what it means to live in a moral and democratic country. With the worsening of the moral crisis in 2018, marked by the election of Jair Bolsonaro, Brazil also dusted off ideas that had been shelved during the 40 years of redemocratization that preceded this setback.""In Argentina, this month (50 years since the start of the bloody civil-military-clerical dictatorship), the director's words resonate powerfully. It is possibly the most important Brazilian film in decades, and should ideally be seen on the big screen to appreciate it in all its magnificence.",2026-03-04,Bocio
6.0,A Story That Needed More Context,"It left me with mixed feelings. Throughout the film, I had the sense that it was building toward something meaningful, but I struggled to fully understand the story because I didn't have enough context.It was never clear to me that the film takes place during Brazil's fascist military regime. Because of that, I didn't grasp that Marcelo (or Armando) was essentially a refugee trying to escape problems tied to someone within the regime. Likewise, I never understood who Ghirotti really was. To me, he seemed more like a mafia figure than someone connected to political power.There were also elements, like the strange imagery involving legs in sharks and parks, that felt symbolic but never fully explained. I know think they are linked to disappearances. Without a clearer framework, these moments only added to the confusion rather than enriching the story.By the end, the film felt like it was heading in an interesting direction but stopped before the narrative and its themes became clear. It's not a bad movie; in fact, it might even be a good one. But I felt the film didn't provide enough tools for viewers unfamiliar with the historical context to fully understand what was happening.",2026-03-04,ricarwuf
7.0,There's A Good Movie In Here Somewhere,"One of the joys of making a point out of seeing ALL of the films nominated for the Major Oscars every year is that there is a gem of film (usually in a foreign language) that the BankofMarquis would never have gotten around to viewing, but is rewarded with a rich, filmgoing experience.Films like I'M STILL HERE, DRIVE MY CAR, ANATOMY OF A FALL and the ZONE OF INTEREST were powerful character dramas that deserved to be seen by as large of audience as it can get.The Brazilian film THE SECRET AGENT does NOT fall into this category.Overly long at 2 hours and 45 minutes, THE SECRET AGENT tells the story of a man trying to escape a dictatorship government in Brazil in 1977. As Written and Directed by Kleber Mendonca Filho, this film has scenes that go on too long, characters that are interesting but go no where and a myriad of plots and subplots that abruptly end.All of this would be forgiven if they would all coalesce in the end, but most of those threads are just abandoned.Fortunately, Filho has Wagner Moura (last year's underrated CIVIL WAR) as the central character who is in about 90% of the scenes. His character, Marcelo is grounded, real, steadfast, earnest and focused on his goal of laying low until he can get out of Brazil. Moura is Oscar Nominated for Best Actor and while it is a very fine performance, Oscar-caliber it is not.And the same goes for the rest of this leisurely paced film. It is up for a total of 4 Oscars (including Best Picture) and it won't win any of these. What this film could have used is a good, strong editor, trimming this down to a taught 2 hours, driving out unnecessary characters and subplots.What Filho and team will have to be happy with is that with these nominations, folks like me are putting eyeballs on a film that, ordinarily, would not be on the radar.Letter Grade: B7 stars (out of 10) and you can take that to the Bank (ofMarquis)",2026-03-04,bankofmarquis
8.0,A slow burner with room to breathe,"It is interesting to me that there are a lot of negative reviews that discuss the length of this movie, the 'slow' pace and that it has a lot of scenes that they believe add nothing. It is interesting because I do feel that for a long time now, films seem to have to be well over two hours and that it is often unnecessary. However, I feel that this movie actually benefited from the long running time and the opportunity to build many scenes that seem to have no purpose to the story.So, let me put down my feelings on the positives. It looks fantastic with great sense of time and place and it has a vibrancy that really helps. The acting is very strong and the actors are given the space to really build. This is where the long running time comes in. This gives the film the opportunity to slowly build and slowly get to know our characters and it made me really care for them and what happens to them. It also means that they are real and even the 'baddies' have great characterisation and avoid the 2d characters often seen in big budget american movies.What i particularly liked is that we often don't know what is happening and that the film takes it's time to unravel the background rather than the Hollywood trope of characters discussing the background within a two minute conversation so we can get to the action scenes.It was actually a relief to see a movie that uses it's long running time to take it's time rather than say Marty Supreme or One battle after another where the pace was chaotic and the narrative repetitive.It is not perfect, I felt the modern day narrative was under developed and felt like a bolt on and it could have had a bit more style as at times it felt a bit too workman like.Overall though, I thought this was an assured piece of filmmaking, seemingly not for everyone.",2026-03-04,Denno1972
3.0,Overrated,"A boring film, lacking rhythm, and just when it starts to make some sense, it ends. The question is, what was the purpose of the young women listening to the recordings? Why is it called The Secret Agent - just to attract an audience? Wagner Moura's performance is overrated, nothing extraordinary. Overrated by some critics, and many seem to feel compelled to say it's very good. Two hours and forty minutes wasted.",2026-03-03,AmadoB-8
